,rank,title,description,runtime,genre,rating,meta_score,vote,gross_earning,director,actor1,actor2,actor3,actor4
44,45,The Star,A small but brave donkey and his animal friends become the unsung heroes of the first Christmas.,86,"Animation, Adventure, Comedy",6.1,42.0,5790,40.85,Timothy Reckart,Steven Yeun,Keegan-Michael Key,Aidy Bryant,Gina Rodriguez
45,46,The Meyerowitz Stories (New and Selected),An estranged family gathers together in New York City for an event celebrating the artistic work of their father.,112,"Comedy, Drama",6.9,79.0,33681,0.0,Noah Baumbach,Adam Sandler,Grace Van Patten,Dustin Hoffman,Elizabeth Marvel
46,47,Mother!,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",121,"Drama, Horror, Mystery",6.6,75.0,170403,17.8,Darren Aronofsky,Jennifer Lawrence,Javier Bardem,Ed Harris,Michelle Pfeiffer
47,48,Atomic Blonde,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,115,"Action, Mystery, Thriller",6.7,63.0,160019,51.69,David Leitch,Charlize Theron,James McAvoy,John Goodman,Eddie Marsan
48,49,Phantom Thread,"Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",130,"Drama, Romance",7.5,90.0,93432,21.02,Paul Thomas Anderson,Vicky Krieps,Daniel Day-Lewis,Lesley Manville,Julie Vollono
49,50,Pirates of the Caribbean: Dead Men Tell No Tales,Captain Jack Sparrow (Johnny Depp) searches for the trident of Poseidon while being pursued by an undead sea Captain and his crew.,129,"Action, Adventure, Fantasy",6.6,39.0,239857,172.56,Joachim Rønning,|,Johnny Depp,Geoffrey Rush,Javier Bardem
50,51,The Babysitter,The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.,85,"Comedy, Horror",6.3,0.0,52026,0.0,McG,Judah Lewis,Samara Weaving,Robbie Amell,Hana Mae Lee
51,52,The Fate of the Furious,"When a mysterious woman seduces Dominic Toretto (Vin Diesel) into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",136,"Action, Adventure, Thriller",6.7,56.0,189607,226.01,F. Gary Gray,Vin Diesel,Jason Statham,Dwayne Johnson,Michelle Rodriguez
52,53,The Man Who Invented Christmas,"The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas.",104,"Biography, Comedy, Drama",7.0,60.0,10770,5.68,Bharat Nalluri,Dan Stevens,Mark Schrier,Patrick Joseph Byrnes,Miriam Margolyes
53,54,Power Rangers,"A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.",124,"Action, Adventure, Sci-Fi",5.9,44.0,96494,85.36,Dean Israelite,Dacre Montgomery,Naomi Scott,RJ Cyler,Ludi Lin
